Date,Date2,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctHome,PctGas,PctBeef,PctPork,PctChInL,PctChInM,Years
1978-10-01,10/01/78,47110.78,0.63,184.4,149.4,4310,14943,10.7,0.962784783,0.75,0.872081218,0.835380835,0.887866842,0.719760617,
1978-11-01,11/01/78,47605.24,0.63,184.6,150.4,4310,14943,10.5,0.983385558,0.75,0.874111675,0.847665848,0.887866842,0.719760617,
1978-12-01,12/01/78,48169.44,0.63,190.3,150.5,4310,14943,10.4,1.006891923,0.75,0.931979695,0.848894349,0.887866842,0.719760617,
1979-01-01,01/01/79,48813.5,0.86,201.4,163.14,4602,16428,11.1,1.033725509,1.388888889,1.044670051,1.004176904,1.015768725,0.89066636,
1979-02-01,02/01/79,49427.14,0.86,211.6,166.21,4602,16428,11.1,1.059291701,1.388888889,1.14822335,1.041891892,1.015768725,0.89066636,
1979-03-01,03/01/79,50082.62,0.86,222.1,166,4602,16428,11.2,1.08660108,1.388888889,1.254822335,1.039312039,1.015768725,0.89066636,
1979-04-01,04/01/79,50733.03,0.86,228.8,159.44,4602,16428,11,1.113699228,1.388888889,1.32284264,0.958722359,1.015768725,0.89066636,
1979-05-01,05/01/79,51391.04,0.86,236.1,157.96,4602,16428,10.3,1.141114015,1.388888889,1.396954315,0.940540541,1.015768725,0.89066636,
1979-06-01,06/01/79,52041.45,0.86,229.6,152.88,4602,16428,9.9,1.168212162,1.388888889,1.330964467,0.878132678,1.015768725,0.89066636,
1979-07-01,07/01/79,52624.66,0.86,228.3,150.66,4602,16428,10.6,1.192510544,1.388888889,1.317766497,0.850859951,1.015768725,0.89066636,
1979-08-01,08/01/79,53154.62,0.86,217.1,143.78,4602,16428,9.7,1.214590361,1.388888889,1.204060914,0.766339066,1.015768725,0.89066636,
1979-09-01,09/01/79,53604.71,0.86,222.7,143.46,4602,16428,9.4,1.233342541,1.388888889,1.260913706,0.762407862,1.015768725,0.89066636,
1979-10-01,10/01/79,54080.15,0.86,220.5,142.09,4602,16428,9.7,1.253150882,1.388888889,1.23857868,0.745577396,1.015768725,0.89066636,
